ts,mem_used_gb,mem_avail_gb,swap_used_gb,gpu_mem_mb,gpu_util,load1,my_rss_gb,warn
03:11:30,24.6,100.5,6.2,6891,100,1.25,14.5,
03:12:30,24.7,100.4,6.2,6891,100,1.20,16.0,
03:13:30,24.6,100.4,6.2,6891,100,1.22,9.4,
03:14:30,24.5,100.5,6.2,6891,100,1.45,9.8,
03:15:30,24.5,100.5,6.2,6891,100,1.32,11.4,
03:16:30,24.6,100.4,6.2,6891,100,1.31,13.0,
03:17:30,24.6,100.4,6.2,6891,100,1.27,14.6,
03:18:31,24.5,100.5,6.2,6891,100,1.28,16.1,
03:19:31,24.6,100.4,6.2,6891,100,1.28,9.4,
03:20:31,24.6,100.5,6.2,6891,100,1.19,9.8,
03:21:31,24.5,100.5,6.2,6891,100,1.24,11.4,
03:22:31,24.7,100.3,6.2,6891,100,1.27,13.0,
03:23:31,24.7,100.3,6.2,6891,100,1.14,14.5,
03:24:31,24.6,100.4,6.2,6891,100,1.12,16.0,
03:25:31,24.6,100.5,6.2,6891,100,1.38,9.4,
03:26:31,24.6,100.4,6.2,6891,100,1.23,9.8,
03:27:31,24.6,100.5,6.2,6891,100,1.24,11.4,
03:28:31,24.7,100.4,6.2,6891,100,1.37,13.0,
03:29:31,24.7,100.4,6.2,6891,100,1.38,14.5,
03:30:31,24.6,100.5,6.2,6891,100,1.25,16.0,
03:31:31,24.7,100.4,6.2,6891,100,1.33,9.4,
03:32:31,24.6,100.4,6.2,6891,100,1.32,9.8,
03:33:32,24.6,100.4,6.2,6891,100,1.27,11.4,
03:34:32,24.7,100.4,6.2,6891,100,1.26,13.0,
03:35:32,24.6,100.5,6.2,6891,100,1.28,14.5,
03:36:32,24.6,100.4,6.2,6891,100,1.35,16.0,
03:37:32,24.5,100.5,6.2,6891,100,1.24,9.4,
03:38:32,24.5,100.5,6.2,6891,100,1.29,9.8,
03:39:32,24.6,100.4,6.2,6891,100,1.17,11.4,
03:40:32,24.6,100.4,6.2,6891,100,1.19,13.0,
03:41:32,24.6,100.5,6.2,6891,100,1.32,14.5,
03:42:32,24.6,100.4,6.2,6891,100,1.27,16.0,
03:43:32,24.6,100.4,6.2,6891,100,1.20,9.5,
03:44:32,27.5,97.5,6.2,3709,94,1.25,10.4,
03:45:32,34.2,90.9,6.2,3709,0,1.17,14.8,
03:46:32,26.1,98.9,6.2,3949,95,1.37,9.4,
03:47:32,34.0,91.0,6.2,3949,0,1.18,14.6,
03:48:33,24.8,100.2,6.2,3709,95,1.30,8.4,
03:49:33,34.3,90.8,6.2,3709,0,1.27,14.8,
03:50:33,23.7,101.3,6.2,3709,90,1.20,9.5,
03:51:33,34.2,90.9,6.2,3949,0,1.07,14.4,
03:52:33,24.0,101.0,6.2,3949,90,1.74,9.3,
03:53:33,22.2,102.8,6.2,328,0,0.80,2.5,
